0;NODE_01;T1;27.64;1718017561146
1;NODE_01;T1;27.64;1718017570798
0;NODE_02;T1;29.53;1718017570851
0;NODE_03;T1;12.58;1718017580674
1;NODE_03;T1;12.71;1718017590712
1;NODE_02;T1;29.59;1718017590752
0;NODE_04;T1;27.39;1718017590758
0;NODE_05;T1;27.84;1718017600672
2;NODE_03;T1;12.83;1718017600669
1;NODE_04;T1;27.39;1718017610668
2;NODE_01;T1;27.64;1718017610683
3;NODE_03;T1;13.03;1718017610710
2;NODE_02;T1;29.57;1718017610729
0;NODE_06;T1;27.81;1718017610813
1;NODE_05;T1;27.85;1718017620660
3;NODE_01;T1;27.64;1718017620663
4;NODE_03;T1;13.17;1718017620681
1;NODE_06;T1;27.80;1718017620693
2;NODE_04;T1;27.39;1718017620716
3;NODE_02;T1;29.59;1718017620718
2;NODE_05;T1;27.85;1718017620852
4;NODE_01;T1;27.64;1718017620874
2;NODE_06;T1;27.80;1718017620877
5;NODE_03;T1;13.17;1718017620879
4;NODE_02;T1;29.59;1718017620928
3;NODE_04;T1;27.39;1718017620930
3;NODE_05;T1;27.85;1718017621067
5;NODE_01;T1;27.64;1718017621070
3;NODE_06;T1;27.80;1718017621076
6;NODE_03;T1;13.17;1718017621088
5;NODE_02;T1;29.59;1718017621131
6;NODE_01;T1;27.64;1718017621292
7;NODE_03;T1;13.17;1718017621294
4;NODE_06;T1;27.80;1718017621297
4;NODE_04;T1;27.40;1718017621325
6;NODE_02;T1;29.59;1718017621347
4;NODE_05;T1;27.85;1718017621380
8;NODE_03;T1;13.17;1718017621500
5;NODE_04;T1;27.40;1718017621537
7;NODE_02;T1;29.59;1718017621556
7;NODE_01;T1;27.64;1718017621589
5;NODE_06;T1;27.80;1718017621604
5;NODE_05;T1;27.85;1718017621692
6;NODE_06;T1;27.80;1718017621707
8;NODE_02;T1;29.59;1718017621759
8;NODE_01;T1;27.64;1718017621811
9;NODE_03;T1;13.17;1718017621819
6;NODE_05;T1;27.85;1718017621902
10;NODE_03;T1;13.17;1718017621919
